"experiment","n","k","rep","penalty_svp","penalty_pelt","method","time","detected"
"vary_k",2000,1,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0719999999999992,2
"vary_k",2000,2,4,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,3
"vary_k",2000,2,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0489999999999995,3
"vary_k",2000,3,4,30.4036098381683,15.2018049190842,"PELT",0.00199999999999889,4
"vary_k",2000,3,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.036999999999999,4
"vary_k",2000,4,4,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,5
"vary_k",2000,4,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0330000000000013,5
"vary_k",2000,5,4,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,6
"vary_k",2000,5,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0259999999999998,6
"vary_k",2000,6,4,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,7
"vary_k",2000,6,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0219999999999985,7
"vary_k",2000,7,4,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,8
"vary_k",2000,7,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0200000000000031,8
"vary_k",2000,8,4,30.4036098381683,15.2018049190842,"PELT",0.00200000000000244,9
"vary_k",2000,8,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0180000000000007,9
"vary_k",2000,9,4,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,10
"vary_k",2000,9,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.017000000000003,10
"vary_k",2000,10,4,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,11
"vary_k",2000,10,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0150000000000006,11
"vary_k",2000,11,4,30.4036098381683,15.2018049190842,"PELT",0.000999999999997669,13
"vary_k",2000,11,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0150000000000006,12
"vary_k",2000,12,4,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,13
"vary_k",2000,12,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0139999999999993,13
"vary_k",2000,13,4,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,14
"vary_k",2000,13,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0129999999999981,14
"vary_k",2000,14,4,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,15
"vary_k",2000,14,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0120000000000005,15
"vary_k",2000,15,4,30.4036098381683,15.2018049190842,"PELT",0.00100000000000122,16
"vary_k",2000,15,4,30.4036098381683,15.2018049190842,"SVP FOCuS",0.0120000000000005,16
"vary_k",2000,16,4,30.4036098381683,15.2018049190842,"PELT",0,17
