"pattern","jump","method","F1_new","Precision_new","Recall_new","CorrectNumCP_new","MSE_new","NumSegments_new","F1_old","Precision_old","Recall_old","CorrectNumCP_old","MSE_old","NumSegments_old","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"rand1",2.8,"PELT inflated",0.828333333333333,0.994,0.71,0,0.192360651711122,6,0.828333333333333,0.994,0.71,0,0.192360651711122,6,0,0,0,0,0,0
"rand1",2.8,"SVP AR1Focus",0.832820512820513,0.996333333333333,0.715714285714286,0,0.180398679158095,6.03,0.822575757575758,0.989,0.704285714285714,0,0.214160667992776,5.98,0.0102447552447552,0.0073333333333333,0.0114285714285715,0,-0.0337619888346808,0.0499999999999998
"rand1",3,"DeCAFS AR1",0.833333333333333,1,0.714285714285714,0,0.182409991071884,6,0.832051282051282,0.996666666666667,0.714285714285714,0,0.183329079178585,6.02,0.00128205128205128,0.0033333333333333,0,0,-0.000919088106700883,-0.0199999999999996
"rand1",3,"PELT AR1 approximate",0.592567079463364,0.502676767676768,0.722857142857143,0,0.206618002395669,11.07,0.688338450764921,0.679206349206349,0.704285714285714,0.37,0.258548521328041,8.38,-0.0957713713015572,-0.176529581529582,0.0185714285714286,-0.37,-0.0519305189323725,2.69
"rand1",3,"PELT inflated",0.83,0.996,0.711428571428571,0,0.197968632511938,6,0.83,0.996,0.711428571428571,0,0.197968632511938,6,0,0,0,0,0,0
"rand1",3,"SVP AR1Focus",0.83051282051282,0.988,0.717142857142857,0,0.188792352127876,6.09,0.831666666666667,0.998,0.712857142857143,0,0.19433920007781,6,-0.00115384615384606,-0.01,0.00428571428571434,0,-0.00554684794993421,0.0899999999999999
"rand1",3.2,"DeCAFS AR1",0.833333333333333,1,0.714285714285714,0,0.203911900966567,6,0.833333333333333,1,0.714285714285714,0,0.203911900966567,6,0,0,0,0,0,0
"rand1",3.2,"PELT AR1 approximate",0.596112548528183,0.501892551892552,0.735714285714286,0,0.222153595853585,11.26,0.666116946778711,0.632857142857143,0.71,0.26,0.249321045165528,8.99,-0.0700043982505284,-0.130964590964591,0.0257142857142858,-0.26,-0.0271674493119436,2.27
"rand1",3.2,"PELT inflated",0.833333333333333,1,0.714285714285714,0,0.215670151224443,6,0.833333333333333,1,0.714285714285714,0,0.215670151224443,6,0,0,0,0,0,0
"rand1",3.2,"SVP AR1Focus",0.838827838827839,0.993571428571429,0.727142857142857,0.01,0.212229428083479,6.13,0.833333333333333,1,0.714285714285714,0,0.215141664604763,6,0.00549450549450547,-0.00642857142857145,0.0128571428571429,0.01,-0.00291223652128347,0.13
"rand1",3.4,"DeCAFS AR1",0.833333333333333,1,0.714285714285714,0,0.219827618598663,6,0.832051282051282,0.996666666666667,0.714285714285714,0,0.22044483422761,6.02,0.00128205128205128,0.0033333333333333,0,0,-0.000617215628947176,-0.0199999999999996
