"pattern","jump","method","new_F1","new_Precision","new_Recall","new_CorrectNumCP","new_MSE","new_NumSegments","old_F1","old_Precision","old_Recall","old_CorrectNumCP","old_MSE","old_NumSegments","delta_F1","delta_Precision","delta_Recall","delta_CorrectNumCP","delta_MSE","delta_NumSegments"
"none",3.1,"PELT",0,0,0,0,7.5030328409857,78.17,0.0258691568792594,0.0131083833143298,1,0,7.5030328409857,78.17,-0.0258691568792594,-0.0131083833143298,-1,0,0,0
"none",3.1,"RFPOP",1,1,1,1,0.00208650561640514,1,0.922333333333333,0.896166666666667,1,0.84,0.0130287155685497,1.32,0.0776666666666668,0.103833333333333,0,0.16,-0.0109422099521445,-0.32
"none",3.1,"SVP MedianMood",1,1,1,1,0.00817387186243548,1,0.986666666666667,0.98,1,0.96,0.0100810651130591,1.04,0.0133333333333333,0.02,0,0.04,-0.00190719325062362,-0.04
"none",3.1,"SVP Wilcoxon",0.99,0.99,0.99,0.99,0.0086572287296803,1.01,0.986666666666667,0.98,1,0.96,0.00996458147443445,1.04,0.0033333333333333,0.01,-0.01,0.03,-0.00130735274475415,-0.03
"none",3.2,"PELT",0,0,0,0,11.1106927254409,78.63,0.0257997086208928,0.0130735888503315,1,0,11.1106927254409,78.63,-0.0257997086208928,-0.0130735888503315,-1,0,0,0
"none",3.2,"RFPOP",0.99,0.99,0.99,0.99,0.00360758441078937,1.02,0.95,0.93,1,0.88,0.00893894417761383,1.18,0.04,0.0599999999999999,-0.01,0.11,-0.00533135976682445,-0.16
"none",3.2,"SVP MedianMood",1,1,1,1,0.0115197324742148,1,0.986666666666667,0.98,1,0.96,0.013011586853634,1.04,0.0133333333333333,0.02,0,0.04,-0.00149185437941926,-0.04
"none",3.2,"SVP Wilcoxon",0.99,0.99,0.99,0.99,0.0121284785127902,1.01,0.986666666666667,0.98,1,0.96,0.0153910774061064,1.04,0.0033333333333333,0.01,-0.01,0.03,-0.00326259889331618,-0.03
"none",3.3,"PELT",0,0,0,0,7.55650945273829,76.61,0.0263607508779594,0.0133611392500918,1,0,7.55650945273829,76.61,-0.0263607508779594,-0.0133611392500918,-1,0,0,0
"none",3.3,"RFPOP",0.99,0.99,0.99,0.99,0.00267444242512741,1.01,0.963,0.95,1,0.92,0.00702913927229694,1.15,0.027,0.04,-0.01,0.07,-0.00435469684716953,-0.14
